,geo,text,user,location,created_at
68,,✱ 'Magnificent achievement': 20 million people have received first coronavirus jab in UK #skynews #BreakingNews… ,alfabeto,USA,2021-02-28 23:12:32
69,,Mass COVID-19 Vaccine Clinic to Open at Oakdale Theater in Wallingford ,NBCConnecticut,Connecticut,2021-02-28 23:12:25
70,,     That's not quite correct. This article explains it well. Only… ,Matt_Bristow_4,UK,2021-02-28 23:12:01
71,,What health experts want those with compromised immune systems to know about the Johnson &amp; Johnson vaccine,RheumaThe,"Melbourne, Australia",2021-02-28 23:12:00
72,,⏰REMINDERTomorrow (3/1)  6:30PM there's a #COVID19 Vaccine Town Hall for Asian American &amp; Pacific Islander Ohioa… ,FranklinCoJFS,"Columbus, OH",2021-02-28 23:12:00
73,,COVID-19 vaccine: 20 million people have received first coronavirus jab in UK,hydnhicks,"London, England",2021-02-28 23:11:28
74,,  Three stories to read tonight:🔴New Brazil COVID 'variant of concern' discovered in UK 🔴20 million p…,Steffan99992160,,2021-02-28 23:11:28
75,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",IzEzaimie,,2021-02-28 23:11:22
76,,"  LOOK: Staff from Pharmaserv Express arrive at the Lung Center of the Philippines in Quezon City on Monday, March 1, to d…",Gabtan55,,2021-02-28 23:11:19
77,,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ",brd_dispatch,"Brainerd, MN",2021-02-28 23:11:03
78,,  City sites continue to prioritize second doses and will offer only a limited number of first doses throughout the week.Vis…,MissIsabelC,"Los Angeles, CA",2021-02-28 23:10:59
79,,"   The FDA said J&amp;J’s vaccine offers strong protection against what matters most: serious illness, hospitalizations and death. One…",FRSNOGREENPARTY,"Fresno, CA",2021-02-28 23:10:40
80,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",AbdulHamidalRa2,"London, UK ",2021-02-28 23:10:32
81,,"  The CDC-backed website, , has now been updated to include COVID-19 vaccine locations nationwide, shar…",MRichNews,Most likely in a Newsroom ,2021-02-28 23:10:25
82,,"  Dr. Anthony Fauci, the top U.S. infectious disease official, said on Sunday he would take the newly approved Johnson &amp;…",SaghiSemino,"Toronto, Ontario",2021-02-28 23:10:24
83,,"  BREAKING: U.S. approves Johnson &amp; Johnson’s single-dose COVID-19 shot, adding a third vaccine option to the race against the virus.…",simplybotansoap,"Metro Washington, DC USA",2021-02-28 23:10:04
84,,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ",bemidji,"Bemidji, MN",2021-02-28 23:10:03
85,,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,WitchNuWa,US,2021-02-28 23:09:56
86,,  More than 20 million in Britain get first COVID-19 vaccine dose  ,rashidaldosari,,2021-02-28 23:09:44
87,,"  LOOK: Staff from Pharmaserv Express arrive at the Lung Center of the Philippines in Quezon City on Monday, March 1, to d…",CoronaUpdateBot,,2021-02-28 23:09:35
88,,"LOOK: Staff from Pharmaserv Express arrive at the Lung Center of the Philippines in Quezon City on Monday, March 1,… ",rapplerdotcom,Philippines,2021-02-28 23:09:29
89,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",GervinBaah,,2021-02-28 23:08:51
90,,"  Ivory Coast received a shipment of COVID-19 doses from the COVAX vaccine-sharing facility on Friday, becoming the second…",gulass,,2021-02-28 23:08:40
91,,  Vaccines are our best defense against #COVID19. Take it from  hall of fame announcer Bob Miller. To learn more abou…,NimaTamangWow,,2021-02-28 23:08:39
92,,        … ,TownOfMiltonON,"Milton, Ontario, Canada",2021-02-28 23:08:33
93,,  20 MILLION Brits have had #vaccine and now we are told that just one jab gives you 90% protection. THIS IS A GOOD NEWS STORY!…,jongaunt,"Warwick, England",2021-02-28 23:08:18
94,,  The Philippines has received its first batch of COVID-19 vaccine. It is among the last in Southeast Asia to secure the critical dos…,simplybotansoap,"Metro Washington, DC USA",2021-02-28 23:08:12
